attendance_id,emp_id,work_date,status
1,1,1/1/2024,Present
2,1,1/2/2024,Present
3,1,1/3/2024,Present
4,1,1/4/2024,Present
5,1,1/5/2024,Present
6,1,1/6/2024,Present
7,1,1/7/2024,Present
8,1,1/8/2024,Absent
9,1,1/9/2024,Absent
10,1,1/10/2024,Present
11,1,1/11/2024,Absent
12,1,1/12/2024,Present
13,1,1/13/2024,Present
14,1,1/14/2024,Present
15,1,1/15/2024,Present
16,1,1/16/2024,Present
17,1,1/17/2024,Present
18,1,1/18/2024,Present
19,1,1/19/2024,Present
20,1,1/20/2024,Present
21,1,1/21/2024,Present
22,1,1/22/2024,Present
23,1,1/23/2024,Leave
24,1,1/24/2024,Present
25,1,1/25/2024,Absent
26,1,1/26/2024,Absent
27,1,1/27/2024,Present
28,1,1/28/2024,Absent
29,1,1/29/2024,Present
30,1,1/30/2024,Present
31,1,1/31/2024,Present
32,1,2/1/2024,Present
33,1,2/2/2024,Present
34,1,2/3/2024,Present
35,1,2/4/2024,Present
36,1,2/5/2024,Present
37,1,2/6/2024,Present
38,1,2/7/2024,Present
39,1,2/8/2024,Present
40,1,2/9/2024,Absent
41,1,2/10/2024,Leave
42,1,2/11/2024,Present
43,1,2/12/2024,Present
44,1,2/13/2024,Present
45,1,2/14/2024,Present
46,1,2/15/2024,Absent
47,1,2/16/2024,Present
48,1,2/17/2024,Leave
49,1,2/18/2024,Present
50,1,2/19/2024,Present
51,1,2/20/2024,Present
52,1,2/21/2024,Leave
53,1,2/22/2024,Present
54,1,2/23/2024,Present
55,1,2/24/2024,Present
56,1,2/25/2024,Present
57,1,2/26/2024,Present
58,1,2/27/2024,Present
59,1,2/28/2024,Leave
60,1,2/29/2024,Present
61,2,1/1/2024,Present
62,2,1/2/2024,Present
63,2,1/3/2024,Present
64,2,1/4/2024,Present
65,2,1/5/2024,Absent
66,2,1/6/2024,Present
67,2,1/7/2024,Present
68,2,1/8/2024,Present
69,2,1/9/2024,Present
70,2,1/10/2024,Present
71,2,1/11/2024,Present
72,2,1/12/2024,Absent
73,2,1/13/2024,Leave
74,2,1/14/2024,Present
75,2,1/15/2024,Leave
76,2,1/16/2024,Present
77,2,1/17/2024,Present
78,2,1/18/2024,Present
79,2,1/19/2024,Present
80,2,1/20/2024,Present
81,2,1/21/2024,Present
82,2,1/22/2024,Present
83,2,1/23/2024,Present
84,2,1/24/2024,Present
85,2,1/25/2024,Present
86,2,1/26/2024,Present
87,2,1/27/2024,Present
88,2,1/28/2024,Leave
89,2,1/29/2024,Present
90,2,1/30/2024,Absent
91,2,1/31/2024,Present
92,2,2/1/2024,Present
93,2,2/2/2024,Present
94,2,2/3/2024,Present
95,2,2/4/2024,Present
96,2,2/5/2024,Present
97,2,2/6/2024,Present
98,2,2/7/2024,Present
99,2,2/8/2024,Present
100,2,2/9/2024,Present
101,2,2/10/2024,Present
102,2,2/11/2024,Leave
103,2,2/12/2024,Present
104,2,2/13/2024,Present
105,2,2/14/2024,Present
106,2,2/15/2024,Present
107,2,2/16/2024,Leave
108,2,2/17/2024,Present
109,2,2/18/2024,Present
110,2,2/19/2024,Present
111,2,2/20/2024,Present
112,2,2/21/2024,Present
113,2,2/22/2024,Present
114,2,2/23/2024,Present
115,2,2/24/2024,Leave
116,2,2/25/2024,Present
117,2,2/26/2024,Present
118,2,2/27/2024,Present
119,2,2/28/2024,Present
120,2,2/29/2024,Present
121,3,1/1/2024,Present
122,3,1/2/2024,Present
123,3,1/3/2024,Present
124,3,1/4/2024,Absent
125,3,1/5/2024,Absent
126,3,1/6/2024,Present
127,3,1/7/2024,Present
128,3,1/8/2024,Present
129,3,1/9/2024,Present
130,3,1/10/2024,Present
131,3,1/11/2024,Present
132,3,1/12/2024,Present
133,3,1/13/2024,Present
134,3,1/14/2024,Absent
135,3,1/15/2024,Present
136,3,1/16/2024,Present
137,3,1/17/2024,Present
138,3,1/18/2024,Present
139,3,1/19/2024,Present
140,3,1/20/2024,Present
141,3,1/21/2024,Present
142,3,1/22/2024,Present
143,3,1/23/2024,Present
144,3,1/24/2024,Present
145,3,1/25/2024,Present
146,3,1/26/2024,Present
147,3,1/27/2024,Present
148,3,1/28/2024,Leave
149,3,1/29/2024,Present
150,3,1/30/2024,Present
151,3,1/31/2024,Present
152,3,2/1/2024,Present
153,3,2/2/2024,Present
154,3,2/3/2024,Leave
155,3,2/4/2024,Absent
156,3,2/5/2024,Absent
157,3,2/6/2024,Present
158,3,2/7/2024,Present
159,3,2/8/2024,Present
160,3,2/9/2024,Present
161,3,2/10/2024,Present
162,3,2/11/2024,Present
163,3,2/12/2024,Present
164,3,2/13/2024,Present
165,3,2/14/2024,Absent
166,3,2/15/2024,Present
167,3,2/16/2024,Present
168,3,2/17/2024,Present
169,3,2/18/2024,Present
170,3,2/19/2024,Present
171,3,2/20/2024,Leave
172,3,2/21/2024,Present
173,3,2/22/2024,Absent
174,3,2/23/2024,Present
175,3,2/24/2024,Present
176,3,2/25/2024,Leave
177,3,2/26/2024,Present
178,3,2/27/2024,Present
179,3,2/28/2024,Present
180,3,2/29/2024,Present
181,4,1/1/2024,Present
182,4,1/2/2024,Present
183,4,1/3/2024,Present
184,4,1/4/2024,Leave
185,4,1/5/2024,Present
186,4,1/6/2024,Absent
187,4,1/7/2024,Present
188,4,1/8/2024,Present
189,4,1/9/2024,Absent
190,4,1/10/2024,Present
191,4,1/11/2024,Present
192,4,1/12/2024,Present
193,4,1/13/2024,Absent
194,4,1/14/2024,Present
195,4,1/15/2024,Present
196,4,1/16/2024,Present
197,4,1/17/2024,Present
198,4,1/18/2024,Leave
199,4,1/19/2024,Present
200,4,1/20/2024,Absent
201,4,1/21/2024,Present
202,4,1/22/2024,Leave
203,4,1/23/2024,Present
204,4,1/24/2024,Present
205,4,1/25/2024,Absent
206,4,1/26/2024,Absent
207,4,1/27/2024,Present
208,4,1/28/2024,Present
209,4,1/29/2024,Present
210,4,1/30/2024,Present
211,4,1/31/2024,Present
212,4,2/1/2024,Present
213,4,2/2/2024,Leave
214,4,2/3/2024,Present
215,4,2/4/2024,Present
216,4,2/5/2024,Present
217,4,2/6/2024,Present
218,4,2/7/2024,Absent
219,4,2/8/2024,Absent
220,4,2/9/2024,Present
